Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
10 | -0.5 | 0.50 | 0.5 | -0.50
11 | -0.5 | 0.55 | 0.5 | -0.55
12 | -0.5 | 0.60 | 0.5 | -0.60
13 | -0.5 | 0.65 | 0.5 | -0.65
14 | -0.5 | 0.70 | 0.5 | -0.70
15 | -0.5 | 0.75 | 0.5 | -0.75
16 | -0.5 | 0.80 | 0.5 | -0.80
17 | -0.5 | 0.85 | 0.5 | -0.85
18 | -0.5 | 0.90 | 0.5 | -0.90
19 | -0.5 | 0.95 | 0.5 | -0.95
20 | -0.5 | 1.00 | 0.5 | -1.00
21 | -0.5 | 1.05 | 0.5 | -1.05
22 | -0.5 | 1.10 | 0.5 | -1.10
23 | -0.5 | 1.15 | 0.5 | -1.15
24 | -0.5 | 1.20 | 0.5 | -1.20
25 | -0.5 | 1.25 | 0.5 | -1.25
26 | -0.5 | 1.30 | 0.5 | -1.30
27 | -0.5 | 1.35 | 0.5 | -1.35
28 | -0.5 | 1.40 | 0.5 | -1.40
29 | -0.5 | 1.45 | 0.5 | -1.45
30 | -0.5 | 1.50 | 0.5 | -1.50
31 | -0.5 | 1.55 | 0.5 | -1.55
32 | -0.5 | 1.60 | 0.5 | -1.60
33 | -0.5 | 1.65 | 0.5 | -1.65
34 | -0.5 | 1.70 | 0.5 | -1.70
35 | -0.5 | 1.75 | 0.5 | -1.75
36 | -0.5 | 1.80 | 0.5 | -1.80
37 | -0.5 | 1.85 | 0.5 | -1.85
38 | -0.5 | 1.90 | 0.5 | -1.90
39 | -0.5 | 1.95 | 0.5 | -1.95
40 | -0.5 | 2.00 | 0.5 | -2.00
41 | -0.5 | 2.05 | 0.5 | -2.05
42 | -0.5 | 2.10 | 0.5 | -2.10
43 | -0.5 | 2.15 | 0.5 | -2.15
44 | -0.5 | 2.20 | 0.5 | -2.20
45 | -0.5 | 2.25 | 0.5 | -2.25
46 | -0.5 | 2.30 | 0.5 | -2.30
47 | -0.5 | 2.35 | 0.5 | -2.35
48 | -0.5 | 2.40 | 0.5 | -2.40
49 | -0.5 | 2.45 | 0.5 | -2.45
50 | -0.5 | 2.50 | 0.5 | -2.50
51 | -0.5 | 2.55 | 0.5 | -2.55
52 | -0.5 | 2.60 | 0.5 | -2.60
53 | -0.5 | 2.65 | 0.5 | -2.65
54 | -0.5 | 2.70 | 0.5 | -2.70
55 | -0.5 | 2.75 | 0.5 | -2.75
56 | -0.5 | 2.80 | 0.5 | -2.80
57 | -0.5 | 2.85 | 0.5 | -2.85
58 | -0.5 | 2.90 | 0.5 | -2.90
59 | -0.5 | 2.95 | 0.5 | -2.95
60 | -0.5 | 3.00 | 0.5 | -3.00
61 | -0.5 | 3.05 | 0.5 | -3.05
62 | -0.5 | 3.10 | 0.5 | -3.10
63 | -0.5 | 3.15 | 0.5 | -3.15
64 | -0.5 | 3.20 | 0.5 | -3.20
65 | -0.5 | 3.25 | 0.5 | -3.25
66 | -0.5 | 3.30 | 0.5 | -3.30
67 | -0.5 | 3.35 | 0.5 | -3.35
68 | -0.5 | 3.40 | 0.5 | -3.40
69 | -0.5 | 3.45 | 0.5 | -3.45
70 | -0.5 | 3.50 | 0.5 | -3.50
71 | -0.5 | 3.55 | 0.5 | -3.55
72 | -0.5 | 3.60 | 0.5 | -3.60
73 | -0.5 | 3.65 | 0.5 | -3.65
74 | -0.5 | 3.70 | 0.5 | -3.70
75 | -0.5 | 3.75 | 0.5 | -3.75
76 | -0.5 | 3.80 | 0.5 | -3.80
77 | -0.5 | 3.85 | 0.5 | -3.85
78 | -0.5 | 3.90 | 0.5 | -3.90
79 | -0.5 | 3.95 | 0.5 | -3.95
80 | -0.5 | 4.00 | 0.5 | -4.00
81 | -0.5 | 4.05 | 0.5 | -4.05
82 | -0.5 | 4.10 | 0.5 | -4.10
83 | -0.5 | 4.15 | 0.5 | -4.15
84 | -0.5 | 4.20 | 0.5 | -4.20
85 | -0.5 | 4.25 | 0.5 | -4.25
86 | -0.5 | 4.30 | 0.5 | -4.30
87 | -0.5 | 4.35 | 0.5 | -4.35
88 | -0.5 | 4.40 | 0.5 | -4.40
89 | -0.5 | 4.45 | 0.5 | -4.45
90 | -0.5 | 4.50 | 0.5 | -4.50
91 | -0.5 | 4.55 | 0.5 | -4.55
92 | -0.5 | 4.60 | 0.5 | -4.60
93 | -0.5 | 4.65 | 0.5 | -4.65
94 | -0.5 | 4.70 | 0.5 | -4.70
95 | -0.5 | 4.75 | 0.5 | -4.75
96 | -0.5 | 4.80 | 0.5 | -4.80
97 | -0.5 | 4.85 | 0.5 | -4.85
98 | -0.5 | 4.90 | 0.5 | -4.90
99 | -0.5 | 4.95 | 0.5 | -4.95
100 | -0.5 | 5.00 | 0.5 | -5.00
101 | -0.5 | 5.05 | 0.5 | -5.05
102 | -0.5 | 5.10 | 0.5 | -5.10
103 | -0.5 | 5.15 | 0.5 | -5.15
104 | -0.5 | 5.20 | 0.5 | -5.20
105 | -0.5 | 5.25 | 0.5 | -5.25
106 | -0.5 | 5.30 | 0.5 | -5.30
107 | -0.5 | 5.35 | 0.5 | -5.35
108 | -0.5 | 5.40 | 0.5 | -5.40
109 | -0.5 | 5.45 | 0.5 | -5.45
110 | -0.5 | 5.50 | 0.5 | -5.50
111 | -0.5 | 5.55 | 0.5 | -5.55
112 | -0.5 | 5.60 | 0.5 | -5.60
113 | -0.5 | 5.65 | 0.5 | -5.65
114 | -0.5 | 5.70 | 0.5 | -5.70
115 | -0.5 | 5.75 | 0.5 | -5.75
116 | -0.5 | 5.80 | 0.5 | -5.80
117 | -0.5 | 5.85 | 0.5 | -5.85
118 | -0.5 | 5.90 | 0.5 | -5.90
119 | -0.5 | 5.95 | 0.5 | -5.95
120 | -0.5 | 6.00 | 0.5 | -6.00
121 | -0.5 | 6.05 | 0.5 | -6.05
122 | -0.5 | 6.10 | 0.5 | -6.10
123 | -0.5 | 6.15 | 0.5 | -6.15
124 | -0.5 | 6.20 | 0.5 | -6.20
125 | -0.5 | 6.25 | 0.5 | -6.25
126 | -0.5 | 6.30 | 0.5 | -6.30
127 | -0.5 | 6.35 | 0.5 | -6.35
128 | -0.5 | 6.40 | 0.5 | -6.40
129 | -0.5 | 6.45 | 0.5 | -6.45
130 | -0.5 | 6.50 | 0.5 | -6.50
131 | -0.5 | 6.55 | 0.5 | -6.55
132 | -0.5 | 6.60 | 0.5 | -6.60
133 | -0.5 | 6.65 | 0.5 | -6.65
134 | -0.5 | 6.70 | 0.5 | -6.70
135 | -0.5 | 6.75 | 0.5 | -6.75
136 | -0.5 | 6.80 | 0.5 | -6.80
137 | -0.5 | 6.85 | 0.5 | -6.85
138 | -0.5 | 6.90 | 0.5 | -6.90
139 | -0.5 | 6.95 | 0.5 | -6.95
140 | -0.5 | 7.00 | 0.5 | -7.00
141 | -0.5 | 7.05 | 0.5 | -7.05
142 | -0.5 | 7.10 | 0.5 | -7.10
143 | -0.5 | 7.15 | 0.5 | -7.15
144 | -0.5 | 7.20 | 0.5 | -7.20
145 | -0.5 | 7.25 | 0.5 | -7.25
146 | -0.5 | 7.30 | 0.5 | -7.30
147 | -0.5 | 7.35 | 0.5 | -7.35
148 | -0.5 | 7.40 | 0.5 | -7.40
149 | -0.5 | 7.45 | 0.5 | -7.45
150 | -0.5 | 7.50 | 0.5 | -7.50
151 | -0.5 | 7.55 | 0.5 | -7.55
152 | -0.5 | 7.60 | 0.5 | -7.60
